INFO - main.py - 2024-12-08 15:28:46,677 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:28:46,678 - Writing log file to run/logs/0
INFO - main.py - 2024-12-08 15:28:46,679 - Exp instance id = 178228
INFO - main.py - 2024-12-08 15:28:46,679 - Exp comment = 
INFO - main.py - 2024-12-08 15:28:46,679 - Config =
INFO - anneal_runner.py - 2024-12-08 15:31:45,003 - step: 193, loss: 133.28929138183594
INFO - anneal_runner.py - 2024-12-08 15:31:45,896 - step: 194, loss: 121.40780639648438
INFO - anneal_runner.py - 2024-12-08 15:31:46,790 - step: 195, loss: 121.77435302734375
INFO - anneal_runner.py - 2024-12-08 15:31:47,686 - step: 196, loss: 122.21511840820312
INFO - anneal_runner.py - 2024-12-08 15:31:48,582 - step: 197, loss: 138.08798217773438
INFO - anneal_runner.py - 2024-12-08 15:31:49,479 - step: 198, loss: 147.3925018310547
INFO - anneal_runner.py - 2024-12-08 15:31:50,377 - step: 199, loss: 119.13239288330078
INFO - anneal_runner.py - 2024-12-08 15:31:51,273 - step: 200, loss: 131.564208984375
INFO - anneal_runner.py - 2024-12-08 15:31:52,512 - step: 201, loss: 124.82124328613281
INFO - anneal_runner.py - 2024-12-08 15:31:53,406 - step: 202, loss: 127.15083312988281
INFO - anneal_runner.py - 2024-12-08 15:31:54,307 - step: 203, loss: 117.01256561279297
INFO - anneal_runner.py - 2024-12-08 15:31:55,202 - step: 204, loss: 127.0487060546875
INFO - anneal_runner.py - 2024-12-08 15:31:56,093 - step: 205, loss: 126.56765747070312
INFO - anneal_runner.py - 2024-12-08 15:31:56,988 - step: 206, loss: 150.11651611328125
INFO - anneal_runner.py - 2024-12-08 15:31:57,885 - step: 207, loss: 131.94927978515625
INFO - anneal_runner.py - 2024-12-08 15:31:58,781 - step: 208, loss: 134.07444763183594
INFO - anneal_runner.py - 2024-12-08 15:31:59,681 - step: 209, loss: 116.50334167480469
INFO - anneal_runner.py - 2024-12-08 15:32:00,577 - step: 210, loss: 141.66580200195312
INFO - anneal_runner.py - 2024-12-08 15:32:01,470 - step: 211, loss: 123.60482788085938
INFO - anneal_runner.py - 2024-12-08 15:32:02,366 - step: 212, loss: 120.49202728271484
INFO - anneal_runner.py - 2024-12-08 15:32:03,257 - step: 213, loss: 115.26158905029297
INFO - anneal_runner.py - 2024-12-08 15:32:04,143 - step: 214, loss: 124.169677734375
INFO - anneal_runner.py - 2024-12-08 15:32:05,034 - step: 215, loss: 124.42837524414062
INFO - anneal_runner.py - 2024-12-08 15:32:05,921 - step: 216, loss: 117.23809051513672
INFO - anneal_runner.py - 2024-12-08 15:32:06,812 - step: 217, loss: 129.15057373046875
INFO - anneal_runner.py - 2024-12-08 15:32:07,702 - step: 218, loss: 119.3570556640625
INFO - anneal_runner.py - 2024-12-08 15:32:08,597 - step: 219, loss: 108.88297271728516
INFO - anneal_runner.py - 2024-12-08 15:32:09,489 - step: 220, loss: 122.05926513671875
INFO - anneal_runner.py - 2024-12-08 15:32:10,391 - step: 221, loss: 131.2620086669922
INFO - anneal_runner.py - 2024-12-08 15:32:11,288 - step: 222, loss: 111.36528015136719
INFO - anneal_runner.py - 2024-12-08 15:32:12,178 - step: 223, loss: 135.45660400390625
INFO - anneal_runner.py - 2024-12-08 15:32:13,068 - step: 224, loss: 103.49861145019531
INFO - anneal_runner.py - 2024-12-08 15:32:13,959 - step: 225, loss: 127.74588012695312
INFO - anneal_runner.py - 2024-12-08 15:32:14,850 - step: 226, loss: 121.48648071289062
INFO - anneal_runner.py - 2024-12-08 15:32:15,741 - step: 227, loss: 134.9952392578125
INFO - anneal_runner.py - 2024-12-08 15:32:16,640 - step: 228, loss: 131.9990692138672
INFO - anneal_runner.py - 2024-12-08 15:32:17,544 - step: 229, loss: 116.435791015625
INFO - anneal_runner.py - 2024-12-08 15:32:18,436 - step: 230, loss: 112.35903930664062
INFO - anneal_runner.py - 2024-12-08 15:32:19,325 - step: 231, loss: 130.59979248046875
INFO - anneal_runner.py - 2024-12-08 15:32:20,218 - step: 232, loss: 104.4460220336914
INFO - anneal_runner.py - 2024-12-08 15:32:21,115 - step: 233, loss: 117.52618408203125
INFO - anneal_runner.py - 2024-12-08 15:32:22,011 - step: 234, loss: 119.58126831054688
INFO - anneal_runner.py - 2024-12-08 15:32:22,902 - step: 235, loss: 131.3806610107422
INFO - anneal_runner.py - 2024-12-08 15:32:23,797 - step: 236, loss: 128.81768798828125
INFO - anneal_runner.py - 2024-12-08 15:32:24,687 - step: 237, loss: 116.21094512939453
INFO - anneal_runner.py - 2024-12-08 15:32:25,578 - step: 238, loss: 125.34196472167969
INFO - anneal_runner.py - 2024-12-08 15:32:26,468 - step: 239, loss: 134.4719696044922
INFO - anneal_runner.py - 2024-12-08 15:32:27,361 - step: 240, loss: 127.35696411132812
INFO - anneal_runner.py - 2024-12-08 15:32:28,252 - step: 241, loss: 111.4759521484375
INFO - anneal_runner.py - 2024-12-08 15:32:29,139 - step: 242, loss: 109.60562896728516
